ID_UNIFICA;EQUIDAD_SOCIAL;COBERTURA_SALUD;COBERTURA_EDUCACION;COBERTURA_ACUEDUCTO;COBERTURA_ALCANTARILLADO;DISTANCIA_SALUD;DISTANCIA_EDUCACION
6800110000000013130209;1,58522728060118;13977;10029;2;4;58,5217093005;303,662990623061
6800110000000013130304;4,15617293524153;15486;11336;2;6;61,9535518546;541,387746756171
6800110000000015010136;11,5402774049176;6838;4700;12;5;66,7874009645;444,64575847795
6800110000000015020705;39,7247252660793;5774;3779;770;482;579,110953683;1097,60083218081
6800110000000010620214;1,86845238577752;11301;8054;8;14;85,8497658131;296,768317846033
6800110000000009440321;20,2225606128937;11698;7839;5;4;172,588911315;302,259811606102
6800110000000010820501;5,62626264462567;14871;10110;207;72;161,421264003;330,518918364431
6800110000000001900306;32,3260482235583;13696;9214;366;173;187,577808649;296,208794891319
6800110000000002030138;25,8140354365633;14447;9845;134;98;503,619817071;289,979970082412
6800110000000002760217;52,4256749024262;1701;1098;273;188;683,34634152;533,492103888945
6800110000000002800209;33,3702242936981;12291;8334;419;218;197,207764273;69,4127283288865
6800110000000005280307;15,0195400207892;12587;8682;32;49;160,594089673;227,626387865581
6800110000000007420706;19,2656718270103;21095;14683;29;25;388,34694831;275,183022466701
6800110000000011940663;32,5078946816294;6420;3985;1215;867;863,91125958;676,988418514782
6800110000000014110461;20,5867350393412;8435;5731;160;127;944,77952562;211,064234693213
6800110000000001020405;15,0382610455803;11564;7812;93;61;32,83717319;347,489944743581
6800110000000001880337;45,2098205472742;5640;3809;116;73;34,2996934163;729,405908203532
6800110000000004210403;43,146986419896;3813;2660;9;13;442,312891764;247,136914398364
6800110000000007420119;2,99615385424305;19480;13162;9;13;330,370931144;329,909831634248
6800110000000010620308;2,07846155074927;10063;7142;7;12;291,74670235;311,296574958676
6800110000000010820830;32,2297293166856;12483;8166;1833;1231;305,422541831;565,127968961575
6800110000000011940708;33,0883830562987;14454;9481;2088;1281;300,668190809;470,644151058091
